iter	Accuracy	MultiClass
326	0.9286666667	0.563996929
327	0.9293333333	0.5629675171
328	0.9293333333	0.5621352914
329	0.93	0.5617149777
330	0.93	0.5610467399
331	0.93	0.5599839211
332	0.93	0.5593828473
333	0.9293333333	0.55825574
334	0.9293333333	0.5573628224
335	0.9286666667	0.5568304407
336	0.9293333333	0.555734331
337	0.93	0.5542609787
338	0.93	0.5536169347
339	0.93	0.5528541829
340	0.93	0.5524209507
341	0.93	0.5520648559
342	0.93	0.5509082161
343	0.93	0.5505247052
344	0.9313333333	0.5494161238
345	0.9306666667	0.5486432342
346	0.9313333333	0.5473372362
347	0.9313333333	0.5458647778
348	0.9333333333	0.5439720375
349	0.9313333333	0.5431613813
350	0.9313333333	0.5427447168
351	0.9313333333	0.5398138639
352	0.932	0.5389084809
353	0.934	0.5373021542
354	0.934	0.5360205819
355	0.9346666667	0.5345770342
356	0.9346666667	0.533751275
357	0.9353333333	0.5329413848
358	0.9353333333	0.5325605405
359	0.9366666667	0.5317506808
360	0.9366666667	0.5308256716
361	0.9373333333	0.5303515769
362	0.9373333333	0.5296030418
363	0.9373333333	0.5291702845
364	0.9373333333	0.5280933755
365	0.938	0.527613651
366	0.9393333333	0.524835299
367	0.9386666667	0.5238465488
368	0.94	0.5225406471
369	0.94	0.5219459356
370	0.94	0.5213479463
371	0.9413333333	0.5195919242
372	0.9406666667	0.5188936205
373	0.94	0.5183121178
374	0.94	0.517864125
375	0.9406666667	0.5162580787
376	0.94	0.5157747206
377	0.94	0.5147730929
378	0.9413333333	0.5131922402
379	0.9433333333	0.5111611802
380	0.942	0.5097872449
381	0.9426666667	0.508992841
382	0.9426666667	0.5083106399
383	0.944	0.5076270437
384	0.944	0.5064073666
385	0.9446666667	0.5049328137
386	0.9453333333	0.5039027489
387	0.9453333333	0.5028150462
388	0.946	0.5019984802
389	0.9466666667	0.5006710453
390	0.9453333333	0.4993252099
391	0.9466666667	0.4982088154
392	0.9466666667	0.4976771728
393	0.9473333333	0.4971571907
394	0.9473333333	0.4962923446
395	0.9466666667	0.495726408
396	0.946	0.4945832822
397	0.946	0.4940819502
398	0.9453333333	0.4925977837
399	0.9446666667	0.492198441
